"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Import Contract Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Contract Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Period Submit","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","0040TC4_TS10-494_Hybrid20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS10-494_Hybrid","2023-04-21","15.00","17000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-26","","","17759","P090001923806","","0105556078229","101046287027752","2023-10-10","",""
"2","004TC4_TS13-4449_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS13-4449_additional","2023-08-11","9.00","14000.00","","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17824","P090001923809","","0105556078229","161046287433382","2023-10-16","",""
"3","004TC4_TS14-44949_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS14-44949_additional","2023-08-11","5.00","9000.00","","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17850","P090001923811","","0105556078229","021046287834102","2023-10-02","",""
"4","004TC4_TS3-4999_increase20230900","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS3-4999_increase","2023-08-15","1.00","2000.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-09-16","","","17559","P090001917941","","0105556078229","021046214626192","2023-10-02","",""
"5","004TC4_TS3-4999_increase20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS3-4999_increase","2023-08-15","0.00","4000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-23","","","17561","P090001918092","","0105556078229","091046243830172","2023-10-09","",""
"6","004TC4_TS4-4999_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS4-4999_additional","2023-08-15","1.00","2000.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17564","P090001917942","","0105556078229","021046214827372","2023-10-02","",""
"7","004TC4_TS4-4999_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","1","0","0","004TC4_TS4-4999_additional20230901","TC4_TS4-4999_additional","2023-09-15","0.00","4000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","3","2023-09-23","","","17565","P090001918093","","0105556078229","091046244025982","2023-10-09","",""
"8","004TC4_TS5-49499_increase20230900","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS5-49499_increase","2022-08-29","10.00","13300.00","","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-09-16","","","17567","P090001917943","","0105556078229","021046215025312","2023-10-02","",""
"9","004TC4_TS5-49499_increase20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS5-49499_increase","2022-08-29","7.00","22500.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","17636","P090001918135","","0105556078229","111046253225712","2023-10-11","",""
"10","004TC4_TS6-49499_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS6-49499_additional","2022-08-29","10.00","13300.00","","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17568","P090001917944","","0105556078229","021046215226492","2023-10-02","",""
"11","00400TC4_TS7-499_Hybrid20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS7-499_Hybrid","2023-09-01","4.00","5200.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","3","2023-09-19","","","17569","P090001917945","","0105556078229","031046215426442","2023-10-03","",""
