"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Receive Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Inst Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","001000000a59vkklashjh5j20240601","a59vkklashjh5j","2024-06-16","Submit Error","E","1","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","51000.00","","51.00","0.00","51.00","0.00","0.00","0.00","0.00","51.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","21814","","","","","","",""
"2","00100000000000al66k9ask20240501","al66k9ask","2024-05-16","Payment","E","1","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","51000.00","","51.00","0.00","51.00","0.00","0.00","0.00","0.00","51.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-05-21","2024-05-28","","16503","P090003478792","","0105556078229","311286963133522","2024-05-31","",""
"3","01000000000000Auto60_1020240401","Auto60_10","2024-04-16","Payment","E","10","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","2.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11590","P090003410343","","0105556078229","011246948633572","2024-05-01","",""
"4","1110000000000Auto60_11120240401","Auto60_111","2024-04-16","Payment Error","E","111","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","80000.00","3","5.00","0.00","5.00","0.00","0.00","0.00","0.00","5.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11591","P090003410351","","0105556078229","011246949032692","2024-05-01","",""
"5","1120000000000Auto60_11220240401","Auto60_112","2024-04-16","Payment Error","Non-E","112","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","5000.00","","50.00","0.00","50.00","0.00","0.00","0.00","0.00","50.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11592","P090003410352","","0105556078229","011246949233972","2024-05-01","",""
"6","01200000000000Auto60_1220240401","Auto60_12","2024-04-16","Payment","Non-E","12","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11593","P090003410353","","0105556078229","011246949433632","2024-05-01","",""
"7","01400000000000Auto60_1420240401","Auto60_14","2024-04-16","Payment","E","14","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","50000.00","1","30.00","0.00","30.00","0.00","0.00","0.00","0.00","30.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11595","P090003410355","","0105556078229","011246949836052","2024-05-01","",""
"8","01500000000000Auto60_1520240401","Auto60_15","2024-04-16","Payment","Non-E","15","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11596","P090003410356","","0105556078229","011246950026932","2024-05-01","",""
"9","01600000000000Auto60_1620240401","Auto60_16","2024-04-16","Payment Error","E","16","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11597","P090003410357","","0105556078229","011246950226692","2024-05-01","",""
"10","01700000000000Auto60_1720240401","Auto60_17","2024-04-16","Payment","E","17","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11598","P090003410358","","0105556078229","011246950427892","2024-05-01","",""
